x,y,z,intensity
-5.66415,-2.07166,1.17233,15
-3.90178,-1.4263,-0.217718,49
-5.69255,-2.0798,1.3992,12
-4.01974,-1.46783,-0.0746963,10
-3.80376,-1.38821,1.08497,12
-3.77959,-1.37342,0.0701936,12
-5.66976,-2.05802,0.316109,19
-5.67503,-2.05881,0.528164,12
-3.7849,-1.37161,0.494302,12
-5.68929,-2.05949,0.958318,13
-5.67873,-2.05455,1.17386,15
-3.97623,-1.4378,-0.22159,61
-5.69427,-2.05793,1.39785,9
-3.83864,-1.38654,-0.0712407,11
-5.67289,-2.04796,1.61607,9
-5.68501,-2.04337,0.105447,15
-5.68032,-2.04056,0.316319,17
-5.69343,-2.04303,0.52921,10
-5.6845,-2.03759,0.741453,14
-3.81041,-1.36507,0.641069,13
-5.7062,-2.04199,1.17805,16
-3.97182,-1.42055,-0.221067,49
-5.70657,-2.041,1.3992,12
-4.04093,-1.44448,-0.0749057,15
-5.7033,-2.03759,1.6228,8
-5.69175,-2.0245,0.105447,15
-5.69646,-2.02506,0.316842,21
-5.70205,-2.0248,0.529384,13
-3.81473,-1.35311,0.496983,16
-5.70282,-2.02172,0.958318,23
-3.83084,-1.35657,0.789949,18
-3.96709,-1.40404,-0.220544,45
-5.71698,-2.02337,1.4001,16
-3.78554,-1.33904,-0.0700889,4
-5.68817,-2.01094,1.61658,16
-5.70221,-2.00695,0.105517,14
-5.70538,-2.00583,0.316947,19
-3.81773,-1.34144,0.354027,13
-5.71849,-2.00707,0.744134,21
-3.8252,-1.34107,0.642007,9
-5.71591,-2.0028,1.17729,24
-4.00189,-1.40144,-0.222218,45
-3.83869,-1.34354,0.938946,10
-3.81662,-1.33506,-0.0705775,3
-5.71157,-1.99681,1.62124,13
-5.71862,-1.99031,0.105692,12
-3.82395,-1.3294,0.21217,15
-5.72135,-1.98791,0.529907,13
-3.8276,-1.32842,0.497471,10
-5.73546,-1.98833,0.961446,11
-3.83627,-1.32918,0.789186,10
-4.0294,-1.39531,-0.223475,61
-5.7457,-1.9885,1.40369,16
-3.81747,-1.32043,-0.0705077,8
-5.72581,-1.97938,1.62331,13
-3.81387,-1.31248,0.070403,12
-5.7268,-1.96854,0.317365,19
-3.83831,-1.31864,0.355072,12
-5.72298,-1.96388,0.742916,14
-5.74237,-1.96829,0.961446,10
-5.73533,-1.96476,1.17844,20
-3.90765,-1.33789,-0.216462,39
-3.84798,-1.31671,0.938946,10
-4.2686,-1.4598,-0.0787453,5
-5.73817,-1.96126,1.62487,13
-5.73616,-1.95163,0.105762,12
-3.82179,-1.29881,0.211542,10
-5.75395,-1.95432,0.53165,12
-5.74108,-1.94772,0.744378,14
-5.7492,-1.94823,0.961446,10
-5.76075,-1.95103,1.18225,13
-4.05229,-1.37162,-0.224207,73
-5.76129,-1.94897,1.40414,15
-3.96868,-1.34178,-0.0731256,37
-5.75596,-1.94493,1.62797,9
-3.84356,-1.2935,0.070787,8
-5.74574,-1.93142,0.317679,14
-5.74152,-1.92889,0.529907,10
-5.76444,-1.93435,0.746572,12
-5.765,-1.9323,0.963011,8
-5.78394,-1.93752,1.18569,16
-4.02272,-1.34677,-0.222323,52
-5.76218,-1.928,1.40279,4
-4.27464,-1.42945,-0.0786754,73
-5.74772,-1.92093,1.62383,10
-3.84047,-1.27755,0.0706473,8
-5.75814,-1.91325,0.317993,17
-5.75989,-1.9116,0.530953,10
-5.77493,-1.91547,0.747059,12
-5.76045,-1.90843,0.961133,6
-5.7705,-1.90953,1.18149,23
-4.05039,-1.33954,-0.223579,60
-3.88006,-1.28246,0.943445,15
-4.25682,-1.40699,-0.0782566,82
-5.75072,-1.89964,1.6228,9
-3.83942,-1.2616,0.0705426,11
-5.7746,-1.89524,0.318517,8
-3.85445,-1.2643,0.354898,10
-5.76305,-1.88811,0.744622,10
-3.86935,-1.26619,0.644823,12
-5.76967,-1.88693,1.17996,20
-4.06073,-1.32725,-0.223893,63
-5.7962,-1.89337,1.40774,9
-4.23344,-1.38206,-0.077733,66
-5.78152,-1.88634,1.62952,7
-3.88945,-1.26301,0.0713803,1
-3.86045,-1.2521,0.212693,15
-5.7829,-1.8734,0.531824,6
-3.85836,-1.24919,0.497958,15
-5.789,-1.87203,0.963636,8
-5.78962,-1.87,1.18263,19
-3.95723,-1.27739,-0.217927,39
-3.88172,-1.25227,0.941645,15
-4.30294,-1.38815,-0.0789198,71
-5.7752,-1.862,1.6259,12
-3.86359,-1.23897,0.0708219,12
-5.78008,-1.85244,0.318098,8
-3.88237,-1.24276,0.356641,13
-5.7783,-1.84743,0.744866,10
-3.87057,-1.23674,0.643571,13
-5.79985,-1.85097,1.1834,20
-4.07584,-1.29998,-0.224207,66
-5.79814,-1.84931,1.40504,15
-3.91337,-1.24741,-0.0716945,14
-3.88757,-1.23844,1.09325,19
-5.78912,-1.8353,0.106006,3
-3.86317,-1.22399,0.212379,9
-5.79362,-1.83339,0.53165,10
-3.88213,-1.22701,0.499908,18
-5.79219,-1.82961,0.962072,11
-3.89248,-1.22804,0.793384,15
-4.06679,-1.28225,-0.223475,45
-3.89737,-1.22884,0.943445,10
-3.99378,-1.25847,-0.0730907,9
-5.78774,-1.82265,1.6259,19
-5.79708,-1.8167,0.106041,5
-5.79637,-1.81425,0.318307,14
-3.87532,-1.21222,0.355247,9
-5.81506,-1.81676,0.748034,15
-3.88832,-1.21331,0.645136,9
-5.80263,-1.80954,1.18149,31
-4.02335,-1.2539,-0.220858,37
-5.82734,-1.81501,1.40909,16
-3.99051,-1.24214,-0.0729511,11
-3.883,-1.20793,1.08963,10
-3.86638,-1.19684,0.0706473,6
-5.81412,-1.79755,0.318935,14
-5.81548,-1.79686,0.532522,12
-3.89419,-1.20173,0.500396,10
-5.8388,-1.7996,0.967704,11
-3.88949,-1.19805,0.791094,12
-4.03343,-1.24162,-0.221172,45
-5.84668,-1.79867,1.41224,8
-3.94512,-1.21293,-0.0720435,9
-5.82064,-1.78844,1.6316,13
-5.82683,-1.78144,0.106355,3
-3.88894,-1.18823,0.213112,12
-5.84268,-1.78294,0.534439,9
