x,y,z,intensity
-3.86444,1.70765,0.821242,10
-5.64421,2.49646,1.42484,10
-3.92978,1.73898,-0.0750104,34
-5.65449,2.50336,1.65696,18
-3.82471,1.69967,0.0730558,10
-5.66257,2.51877,0.324797,27
-5.67563,2.52577,0.543503,22
-3.85152,1.71561,0.517701,11
-5.66692,2.52663,0.982721,13
-5.67115,2.5297,1.20706,15
-3.82578,1.70815,0.96729,16
-3.82691,1.70946,-0.0731605,13
-5.6369,2.51915,1.65437,10
-5.63781,2.529,0.107856,6
-3.84447,1.72616,0.220858,16
-5.65769,2.54148,0.542632,23
-5.66325,2.54635,0.762415,17
-5.65806,2.54639,0.982721,11
-5.6587,2.54787,1.20629,16
-5.65507,2.54861,1.43204,23
-3.83004,1.72691,-0.073335,21
-5.62983,2.5396,1.65489,18
-5.62531,2.54702,0.107786,9
-5.65213,2.56154,0.325216,22
-5.64516,2.55957,0.542283,11
-5.65432,2.5661,0.762415,12
-5.65813,2.57021,0.984286,16
-3.82848,1.7399,0.817426,18
-3.83505,1.7445,0.972688,23
-3.83127,1.74359,-0.0734746,21
-3.8223,1.74031,1.12535,30
-3.82307,1.74711,0.0733699,21
-5.66313,2.59039,0.326367,13
-5.66155,2.59087,0.544723,16
-5.65075,2.58831,0.763146,11
-5.65092,2.59077,0.984599,11
-5.63721,2.58568,1.20553,30
-5.63537,2.58721,1.43159,35
-3.83061,1.75945,-0.0735793,19
-5.62776,2.5861,1.65955,26
-5.63462,2.59879,0.10831,18
-5.63093,2.59828,0.325006,13
-3.8274,1.7677,0.368843,11
-5.63267,2.60385,0.761927,19
-5.63333,2.60535,0.983034,14
-5.6424,2.61194,1.20858,13
-3.8104,1.76549,0.969539,15
-3.81205,1.76626,-0.073335,17
-3.81913,1.77035,1.12793,42
-3.81471,1.77478,0.0734397,20
-5.62545,2.61961,0.325216,15
-3.82663,1.78357,0.369366,17
-5.6312,2.62587,0.762902,13
-5.62421,2.625,0.983034,14
-5.63015,2.62897,1.20782,28
-0.47591,0.222325,-0.0275287,12
-5.62292,2.62799,1.43294,28
-3.80586,1.77956,-0.073335,22
-5.60478,2.62189,1.65799,20
-3.80306,1.78553,0.073335,11
-5.63616,2.64857,0.326367,10
-5.63277,2.64818,0.544549,17
-5.62739,2.64805,0.763633,18
-3.82257,1.80039,0.669227,19
-5.62449,2.65028,1.20858,28
-3.81239,1.79804,0.973138,9
-3.82133,1.80307,-0.0737539,16
-3.80319,1.79532,1.1269,21
-5.60395,2.65496,0.10824,6
-3.81862,1.81077,0.221486,13
-3.818,1.81129,0.369715,26
-5.61094,2.66427,0.762658,19
-5.6218,2.67183,0.98585,19
-5.60989,2.66737,1.20744,40
-5.615,2.6722,1.43564,12
-3.80057,1.80952,-0.0734746,29
-3.79341,1.80693,1.12586,19
-3.80314,1.81808,0.0735793,14
-5.61933,2.68871,0.326472,12
-5.62493,2.6926,0.545595,25
-3.79348,1.81753,0.516482,13
-3.81881,1.83131,0.670791,19
-5.60231,2.68778,1.20782,37
-5.60388,2.69094,1.43519,14
-3.86273,1.85568,-0.074801,29
-5.59095,2.68714,1.66214,15
-5.58888,2.69576,0.10831,10
-3.7879,1.8287,0.220439,18
-5.61729,2.71308,0.545769,14
-5.61007,2.71201,0.765096,33
-5.60123,2.71015,0.985537,21
-5.60173,2.7116,1.20973,30
-5.57691,2.70199,1.43069,11
-3.80764,1.84561,-0.0738586,48
-3.80156,1.84348,1.13207,36
-5.58124,2.71612,0.108345,6
-5.59144,2.72351,0.325948,15
-5.6042,2.73093,0.545421,21
-3.81103,1.85876,0.520626,18
-3.80061,1.85532,0.669852,13
-5.60458,2.73717,1.2124,36
-0.471957,0.230597,-0.0275287,12
-5.59021,2.73257,1.43654,17
-3.81015,1.86328,-0.0740331,78
-5.57552,2.7278,1.66317,19
-3.78209,1.85692,0.0735444,12
-3.79835,1.86655,0.2218,12
-5.6,2.75311,0.545944,25
-5.60525,2.75812,0.767046,33
-5.59458,2.7553,0.987727,19
-5.59323,2.75585,1.21202,16
-5.5719,2.74776,1.43429,12
-3.80901,1.87922,-0.0741378,66
-3.77301,1.86228,1.12742,30
