x,y,z,intensity
-5.33375,1.1036,1.25748,14
-5.37727,1.1126,-0.0958486,15
-5.30626,1.09887,1.45197,13
-2.25049,0.469331,-0.615989,8
-5.28742,1.10267,0.0942779,16
-5.28059,1.10317,0.282719,17
-3.74538,0.783134,-0.743774,3
-5.26734,1.10232,0.470815,13
-5.22454,1.09432,0.655413,15
-0.586743,0.123005,-0.0736091,14
-5.20825,1.0928,0.842869,15
-0.606406,0.127348,-0.0542109,28
-5.20108,1.09225,1.03304,24
-4.12606,0.867241,-0.220962,38
-5.20039,1.094,1.22688,40
-5.24812,1.10499,-0.0936147,15
-5.23623,1.10345,1.43386,55
-2.24514,0.47599,-0.614954,11
-5.15248,1.09331,0.0919393,16
-5.10694,1.08458,0.273612,31
-3.72164,0.79106,-0.739576,3
-5.13503,1.09242,0.459311,50
-5.1372,1.09476,0.644933,66
-0.566896,0.120911,-0.0711717,15
-5.16596,1.10183,0.836612,47
-0.56701,0.121039,-0.0507246,62
-5.18955,1.10876,1.03151,61
-4.13082,0.883308,-0.221381,28
-5.19463,1.11174,1.22643,50
-5.0919,1.08975,-0.0908921,21
-5.22876,1.11999,1.43282,52
-2.22647,0.480159,-0.610295,6
-5.06673,1.09269,0.0904733,26
-5.10507,1.10282,0.273717,57
-3.71502,0.803216,-0.738812,1
-5.14871,1.11413,0.46088,83
-5.1316,1.11137,0.644689,64
-0.574252,0.124472,-0.0721467,15
-5.15436,1.11818,0.83536,49
-0.545167,0.118367,-0.0488072,100
-5.20312,1.12971,1.03495,60
-4.12787,0.897001,-0.221381,19
-5.20425,1.13185,1.22958,50
-5.05094,1.09944,-0.0902289,38
-5.22293,1.13783,1.4323,27
-2.23996,0.490847,-0.614436,2
-5.08632,1.11551,0.0908921,24
-5.09729,1.11978,0.273508,45
-3.73918,0.821428,-0.744155,1
-5.12359,1.12649,0.458962,53
-5.1432,1.13269,0.646639,49
-0.554429,0.122203,-0.0697093,15
-5.15236,1.13659,0.835673,27
-0.515567,0.113827,-0.0461925,34
-5.19339,1.14659,1.0338,43
-4.13056,0.912698,-0.221695,15
-5.20217,1.15044,1.23003,32
-5.0705,1.12225,-0.0906478,26
-5.22647,1.15772,1.43438,16
-2.27397,0.507042,-0.624272,1
-5.07068,1.13064,0.0906827,13
-5.09335,1.13757,0.273508,17
-5.13109,1.14787,0.460008,28
-5.14115,1.15107,0.646883,27
-0.534628,0.119797,-0.0672719,16
-5.15992,1.15716,0.83755,10
-0.526831,0.118243,-0.0472384,68
-5.17766,1.16304,1.03151,19
-4.15447,0.933964,-0.223161,10
-5.21122,1.17249,1.23318,13
-5.08801,1.14477,-0.0910318,16
-5.22805,1.17723,1.43593,5
-2.28349,0.517538,-0.627377,1
-5.09966,1.15674,0.0912761,4
-5.09499,1.15755,0.273822,4
-5.15036,1.17108,0.4621,6
-5.14851,1.17255,0.648345,9
-0.524508,0.11955,-0.0660532,33
-5.19609,1.18529,0.844121,4
-0.5303,0.120968,-0.047587,67
-5.18505,1.18373,1.0338,4
-4.14534,0.947125,-0.222847,1
-5.2356,1.19719,1.23993,4
-5.09938,1.16698,-0.091311,4
-5.28208,1.20976,1.45197,2
-2.31556,0.533311,-0.636695,1
-5.10923,1.17768,0.0915204,2
-5.15319,1.18971,0.277171,4
-5.1773,1.19623,0.464889,5
-5.15019,1.19186,0.649076,6
-0.51055,0.118245,-0.064347,34
-5.17268,1.19896,0.840992,3
-0.535698,0.124168,-0.04811,100
-5.21723,1.21025,1.04105,5
-4.18481,0.971526,-0.225149,1
-5.24467,1.21854,1.24308,4
-5.16929,1.20198,-0.0926374,2
-2.27042,0.531267,-0.624789,2
-5.12066,1.19915,0.0917997,4
-5.13151,1.20358,0.276229,11
-5.1731,1.21429,0.464889,8
-5.146,1.20983,0.649076,6
-0.49854,0.117299,-0.0628846,17
-5.15885,1.21475,0.839427,9
-0.50617,0.119187,-0.0454953,70
-5.20915,1.22755,1.04029,6
-4.16973,0.983377,-0.224521,1
-5.22901,1.23416,1.24038,13
-5.21955,1.23289,-0.0936147,2
-2.24599,0.533828,-0.618578,6
-5.10867,1.21517,0.09166,12
-5.12339,1.22056,0.27602,20
-5.14169,1.22587,0.462448,15
-5.13981,1.22732,0.648832,12
-0.501989,0.119961,-0.0633721,17
-5.15842,1.23367,0.840053,14
-5.21247,1.24755,1.04182,12
-4.13908,0.991413,-0.223056,8
-5.21709,1.25059,1.23858,19
-5.11021,1.22591,-0.0917298,2
-2.24233,0.54082,-0.61806,8
-5.07739,1.22554,0.0911714,24
-5.10961,1.2352,0.275497,35
-5.14147,1.24385,0.462797,31
-5.14343,1.24623,0.649807,20
-0.517022,0.125367,-0.065322,16
-5.15622,1.25123,0.840366,27
-0.528582,0.128268,-0.047587,33
-5.19113,1.26066,1.03838,28
-4.12995,1.00372,-0.222742,14
-5.1864,1.26143,1.23228,21
-5.08086,1.2367,-0.0912761,7
-4.98335,1.21389,1.37433,2
-2.25169,0.551401,-0.621166,8
-5.06143,1.2404,0.0909619,48
-5.1072,1.2535,0.275601,53
-5.13517,1.26132,0.462623,56
-5.09472,1.25327,0.644201,28
-0.485741,0.119579,-0.0614222,17
-5.03098,1.23945,0.820655,18
-4.14186,1.0204,-0.373201,1
-4.92937,1.21533,0.986864,9
-4.1206,1.01669,-0.222428,15
-4.92656,1.21646,1.17155,14
-5.06681,1.25203,-0.0911016,16
-4.90595,1.21319,1.35414,15
-2.25163,0.559724,-0.621683,10
-5.02796,1.25082,0.0904384,33
-2.60393,0.648268,-0.619515,1
-4.92838,1.22787,0.266181,22
-4.86588,1.2132,0.438742,17
-4.83801,1.20804,0.612272,16
-0.496876,0.124161,-0.0628846,17
-4.83116,1.20813,0.788743,16
-4.11895,1.03002,-0.371458,3
-4.8451,1.21251,0.970836,19
-4.12478,1.03301,-0.222847,19
-4.82966,1.21044,1.1495,17
-4.94409,1.24003,-0.0889724,6
-4.82673,1.2115,1.33344,16
-2.25153,0.568052,-0.622201,14
-4.78315,1.20766,0.0861102,16
-2.55631,0.645896,-0.608718,1
-4.75754,1.20296,0.257179,23
-4.76697,1.20623,0.430201,27
-4.75487,1.20493,0.602278,20
-0.507984,0.128823,-0.064347,17
-4.73501,1.20166,0.773725,26
-4.1076,1.04243,-0.370761,5
-4.77805,1.21347,0.958243,30
-4.13276,1.05035,-0.223475,21
-4.74419,1.20663,1.13015,21
-4.74981,1.20895,-0.0855517,6
-4.75133,1.21022,1.31377,21
-2.23269,0.571597,-0.617542,20
-4.70142,1.2045,0.084714,18
-2.54838,0.653363,-0.607368,2
-4.69355,1.20335,0.253934,30
-4.67203,1.19957,0.422008,33
-4.66604,1.19977,0.591554,24
-0.515222,0.132574,-0.065322,16
-4.64873,1.19619,0.760272,22
-4.1078,1.05776,-0.371109,3
-4.67492,1.20467,0.938399,34
-4.13294,1.06577,-0.223684,21
-4.65504,1.20128,1.10991,21
-4.68769,1.2097,-0.0845046,10
-4.65938,1.20326,1.28944,24
-2.23629,0.580844,-0.619095,30
-4.6103,1.19746,0.0831433,21
-2.56317,0.666222,-0.611417,2
-4.612,1.19962,0.249747,33
-4.59648,1.19729,0.415559,30
-4.59288,1.19721,0.582779,27
-4.57763,1.19494,0.749321,27
-4.09251,1.06907,-0.370063,1
-4.57973,1.19634,0.920081,34
-4.12745,1.07897,-0.223579,19
-4.57939,1.19796,1.09281,24
-4.58671,1.20074,-0.0827593,8
-4.57853,1.19945,1.26821,24
-2.24183,0.590224,-0.621166,42
-4.53455,1.19469,0.0818518,21
-2.52503,0.665726,-0.602869,2
-4.52474,1.1938,0.245246,31
-4.51928,1.1932,0.408935,31
-4.50999,1.19243,0.572786,26
-4.50469,1.19271,0.738058,26
-4.10031,1.08641,-0.371109,1
-4.50531,1.19372,0.905961,30
-4.12173,1.09286,-0.223475,21
-4.49607,1.19295,1.07392,22
-4.52065,1.20032,-0.0816424,8
-4.51831,1.20054,1.25268,29
-2.24338,0.599434,-0.622201,47
-4.45694,1.1909,0.0805254,21
-2.54716,0.681081,-0.608718,2
-4.43758,1.18739,0.240745,33
-4.45329,1.19326,0.403357,34
-4.43486,1.18915,0.563768,28
-4.42419,1.18794,0.725543,26
-4.11189,1.10485,-0.372504,1
-4.44023,1.19391,0.893749,38
-4.11576,1.10744,-0.22337,19
-4.41264,1.18814,1.05502,39
-4.43919,1.19529,-0.0802462,7
-4.4488,1.19871,1.23457,48
-2.24128,0.607261,-0.622201,53
-4.39464,1.19153,0.0794783,22
-2.55217,0.692452,-0.610517,1
-4.36595,1.18456,0.237082,31
-4.37989,1.18999,0.397082,35
-4.36726,1.1882,0.555724,37
-4.36093,1.18729,0.715844,50
-4.10801,1.1192,-0.372504,3
-4.40005,1.19959,0.886499,77
-4.1138,1.12232,-0.223475,19
-4.3859,1.19738,1.04962,68
-4.34626,1.18655,-0.0786405,11
-4.42409,1.20863,1.22887,78
-2.2261,0.611499,-0.618578,56
-4.31353,1.18491,0.0780821,40
-2.53107,0.695747,-0.606018,1
-4.31749,1.18761,0.234674,71
-4.33921,1.19522,0.39377,88
-4.34607,1.19792,0.553531,75
-4.35104,1.20093,0.714906,71
-4.08487,1.12823,-0.370761,5
-4.38091,1.20999,0.883446,86
-4.12353,1.13968,-0.224207,17
-4.38379,1.21244,1.05007,86
-4.28813,1.18678,-0.0776632,19
-4.40123,1.21891,1.2237,93
-2.22778,0.619914,-0.619613,56
-4.27855,1.19137,0.0775236,73
-2.5474,0.709809,-0.610517,1
-4.30391,1.19924,0.234151,82
-4.32371,1.20639,0.392724,100
-4.32275,1.20775,0.551093,78
-4.34323,1.21429,0.71428,82
-4.08686,1.14338,-0.371283,15
-4.35964,1.22052,0.880011,102
-4.11953,1.15407,-0.224207,17
-4.38703,1.22983,1.05187,87
-4.27839,1.19938,-0.0775585,22
-4.39902,1.23402,1.22421,87
-2.22933,0.628735,-0.620648,55
-4.2688,1.20393,0.0774189,78
-2.51502,0.709783,-0.603319,1
-4.29778,1.21372,0.234046,94
-4.31947,1.22147,0.392724,100
-4.31681,1.22153,0.550849,83
-4.35037,1.23267,0.716157,83
-4.10201,1.16307,-0.373027,26
-4.35557,1.23497,0.880011,87
-4.10607,1.165,-0.223684,17
-4.38293,1.24438,1.05187,86
-4.28187,1.21649,-0.0776981,35
-4.41327,1.25465,1.22939,99
-2.23094,0.637185,-0.621683,54
-4.27419,1.22157,0.0775934,85
-2.50504,0.716414,-0.601519,1
-4.28775,1.22706,0.233732,92
-2.58208,0.738936,-0.522053,1
-4.33263,1.24073,0.394293,100
-4.31252,1.23659,0.550849,85
-4.34984,1.24894,0.716783,83
-4.09813,1.17667,-0.373027,46
-4.35501,1.25125,0.880774,104
-4.11158,1.18208,-0.224207,15
-4.37669,1.25913,1.05142,89
-4.27568,1.23088,-0.0776632,35
-4.40144,1.26791,1.22732,89
-2.23242,0.646043,-0.622719,54
-4.28142,1.23982,0.0778028,84
-2.38273,0.690442,-0.572725,1
-4.28536,1.24258,0.233837,94
-2.47389,0.717327,-0.500683,1
-4.32636,1.25529,0.394118,100
-4.31961,1.25496,0.552312,85
-4.33787,1.26191,0.715531,83
-4.09974,1.19264,-0.37355,63
-4.36758,1.27138,0.884209,107
-4.11126,1.19754,-0.224417,15
-4.37788,1.27603,1.05277,86
-4.26176,1.243,-0.0774887,33
-4.40997,1.28706,1.23094,100
-2.21903,0.650571,-0.619613,56
-4.27131,1.25306,0.0776981,80
-2.35039,0.689974,-0.565527,1
-4.29058,1.26035,0.23436,92
-2.4224,0.711572,-0.490761,1
-4.32004,1.26982,0.393944,100
-4.31901,1.27115,0.552799,88
-4.33722,1.27816,0.716157,82
-4.086,1.20412,-0.372678,61
-4.365,1.28717,0.884591,104
-4.11472,1.21415,-0.224835,15
-4.379,1.29296,1.05412,84
-4.25931,1.25843,-0.0775236,40
-4.38877,1.29751,1.22628,91
-2.21859,0.658862,-0.62013,59
-4.25733,1.26512,0.0775236,85
-2.31808,0.689287,-0.558329,1
-4.29764,1.27873,0.234988,89
-2.43119,0.723382,-0.49305,1
-4.31176,1.28375,0.393595,100
-4.31836,1.28736,0.553287,90
-4.33274,1.29329,0.716157,83
-4.08177,1.21838,-0.372678,67
-4.35295,1.30015,0.883064,104
-4.12385,1.23251,-0.225568,15
-4.38753,1.31215,1.05727,81
-4.26447,1.27616,-0.0776981,43
-4.40272,1.31837,1.23146,99
-2.21813,0.667159,-0.620648,57
-4.26054,1.28228,0.0776632,87
-2.25221,0.678268,-0.543032,1
-4.28933,1.29257,0.234779,92
-2.42489,0.730731,-0.492287,1
-4.3187,1.30225,0.394641,100
-4.04899,1.22169,-0.669852,4
-4.31003,1.30128,0.552799,86
-4.18059,1.26299,-0.536225,1
-4.3471,1.31412,0.719286,83
-4.09656,1.23838,-0.374421,69
-4.34839,1.31534,0.883064,102
-4.1157,1.24574,-0.225359,15
-4.3792,1.32633,1.05637,86
-4.27913,1.29684,-0.0780472,47
-4.3944,1.33261,1.23043,89
-2.22133,0.676587,-0.622201,59
-4.26561,1.30006,0.0778377,89
-2.25915,0.688968,-0.545281,2
-4.27715,1.30521,0.23436,92
-2.36599,0.722002,-0.480839,1
-4.32556,1.32081,0.395687,100
-4.06548,1.24217,-0.673294,13
-4.30926,1.31747,0.553287,86
-4.06985,1.24505,-0.522576,1
-4.33494,1.32698,0.718034,86
-4.10174,1.25559,-0.375293,63
-4.35503,1.33396,0.885354,106
-4.12087,1.26302,-0.225882,17
-4.3764,1.34218,1.05682,82
-4.26884,1.31,-0.0779424,43
-4.41188,1.35474,1.23664,100
-2.2208,0.684905,-0.622719,55
-4.27251,1.31848,0.0780472,78
-2.23439,0.68995,-0.539883,2
-4.28402,1.32367,0.234988,89
-2.33532,0.721562,-0.475114,2
-4.32283,1.33649,0.395861,100
-4.07244,1.25985,-0.675171,13
-4.3236,1.33838,0.555724,90
-4.09203,1.26748,-0.525988,1
-4.33782,1.34444,0.719286,83
-4.09162,1.26813,-0.37477,52
-4.35785,1.35148,0.88688,104
-4.11835,1.27799,-0.225987,15
-4.36983,1.35687,1.05637,87
-4.25469,1.32193,-0.0777679,49
-4.39237,1.36555,1.2325,95
-2.21471,0.691502,-0.621683,54
-4.26979,1.33398,0.0780821,87
-2.19849,0.687279,-0.531784,9
-4.28509,1.3404,0.235302,85
-2.3103,0.722676,-0.470535,2
-4.30673,1.348,0.394816,100
-4.05482,1.26993,-0.672981,3
-4.32269,1.35465,0.556212,92
-4.1141,1.29007,-0.5294,1
-4.3331,1.35957,0.719286,86
-4.09097,1.2836,-0.375118,50
-4.35311,1.36668,0.88688,104
-4.12339,1.29535,-0.22651,17
-4.37436,1.37503,1.05862,92
-4.2615,1.34037,-0.0779774,59
-4.40047,1.38493,1.23612,100
-2.21044,0.698646,-0.621166,42
-4.2632,1.34827,0.0780472,89
-2.18679,0.692009,-0.529535,8
-4.2861,1.35716,0.235617,92
-2.30215,0.728958,-0.46939,4
-4.3096,1.36543,0.395513,100
-4.10874,1.30258,-0.68268,1
-4.31794,1.36973,0.556212,88
-4.16255,1.32124,-0.536225,1
-4.33963,1.37828,0.721163,86
-4.09217,1.29968,-0.375641,37
-4.35205,1.38306,0.887644,109
-4.12075,1.31034,-0.226615,19
-4.38996,1.3968,1.06357,100
-4.26441,1.35767,-0.078117,68
-4.39561,1.40028,1.23612,100
-2.22271,0.711066,-0.625307,12
-4.26227,1.36436,0.078117,89
-2.20848,0.707366,-0.535384,3
-4.28704,1.37394,0.235931,94
-2.28837,0.733394,-0.4671,6
-4.31429,1.38351,0.396384,100
-4.31124,1.38419,0.555968,100
-4.15791,1.33576,-0.536225,1
-4.33479,1.39342,0.721163,90
-4.10088,1.31823,-0.376861,28
-4.3528,1.40005,0.888788,117
-4.12755,1.32839,-0.227243,21
-4.37579,1.40912,1.06132,91
-4.26345,1.37377,-0.0781868,77
-4.38518,1.41384,1.23457,74
-2.23492,0.723582,-0.629448,8
-4.2708,1.38355,0.0783613,100
-2.22825,0.722281,-0.540782,2
-4.27272,1.38582,0.235407,100
-2.28206,0.740167,-0.466337,27
-4.3227,1.40286,0.397604,100
-4.30638,1.39923,0.555968,100
-4.33178,1.40915,0.721476,57
